"","geo","year","value","curr"
"232","lv",2013,0.692075,"EUR"
"233","mk",2013,26.4833,"MKD"
"234","mt",2013,0.800482,"EUR"
"235","nl",2013,1.1064,"EUR"
"236","no",2013,12.5162,"NOK"
"237","pl",2013,2.4425,"PLN"
"238","pt",2013,0.80898,"EUR"
"239","ro",2013,2.2265,"RON"
"240","se",2013,11.9179,"SEK"
"241","si",2013,0.818405,"EUR"
"242","sk",2013,0.680782,"EUR"
"243","tr",2013,1.48361,"TRY"
"244","gb",2013,0.963733,"GBP"
"245","us",2013,1.38617,"USD"
"246","at",2012,1.10141,"EUR"
"247","be",2012,1.11291,"EUR"
"248","bg",2012,0.937848,"BGN"
"249","ch",2012,1.83297,"CHF"
"250","cy",2012,0.956847,"EUR"
"251","cz",2012,18.0008,"CZK"
"252","de",2012,1.06567,"EUR"
"253","dk",2012,10.2394,"DKK"
"254","ee",2012,0.705349,"EUR"
"255","gr",2012,0.926811,"EUR"
"256","es",2012,0.940772,"EUR"
"257","fi",2012,1.22981,"EUR"
"258","fr",2012,1.14291,"EUR"
"259","hr",2012,4.96005,"HRK"
"260","hu",2012,170.054,"HUF"
"261","ie",2012,1.11417,"EUR"
"262","is",2012,185.41,"ISK"
"263","it",2012,1.01219,"EUR"
"264","jp",2012,141.153,"JPY"
"265","lt",2012,0.61275,"EUR"
"266","lu",2012,1.2275,"EUR"
"267","lv",2012,0.685233,"EUR"
"268","mk",2012,25.7246,"MKD"
"269","mt",2012,0.784765,"EUR"
"270","nl",2012,1.11598,"EUR"
"271","no",2012,12.2333,"NOK"
"272","pl",2012,2.43143,"PLN"
"273","pt",2012,0.819512,"EUR"
"274","ro",2012,2.1166,"RON"
"275","se",2012,11.7157,"SEK"
"276","si",2012,0.821401,"EUR"
"277","sk",2012,0.682986,"EUR"
"278","tr",2012,1.38055,"TRY"
"279","gb",2012,0.949784,"GBP"
"280","us",2012,1.35368,"USD"
"281","at",2011,1.11531,"EUR"
"282","be",2011,1.11603,"EUR"
"283","bg",2011,0.940513,"BGN"
"284","ch",2011,1.87479,"CHF"
"285","cy",2011,0.937224,"EUR"
"286","cz",2011,17.9031,"CZK"
"287","de",2011,1.05812,"EUR"
"288","dk",2011,10.0165,"DKK"
"289","ee",2011,0.686327,"EUR"
"290","gr",2011,0.95673,"EUR"
"291","es",2011,0.958026,"EUR"
"292","fi",2011,1.20479,"EUR"
"293","fr",2011,1.12871,"EUR"
"294","hr",2011,5.03428,"HRK"
"295","hu",2011,166.715,"HUF"
"296","ie",2011,1.1155,"EUR"
"297","is",2011,181.311,"ISK"
"298","it",2011,1.0178,"EUR"
"299","jp",2011,144.153,"JPY"
"300","lt",2011,0.606265,"EUR"
"301","lu",2011,1.21422,"EUR"
"302","lv",2011,0.66876,"EUR"
"303","mk",2011,25.8775,"MKD"
"304","mt",2011,0.770239,"EUR"
"305","nl",2011,1.12161,"EUR"
"306","no",2011,12.1848,"NOK"
"307","pl",2011,2.41667,"PLN"
"308","pt",2011,0.835885,"EUR"
"309","ro",2011,2.07942,"RON"
"310","se",2011,11.8646,"SEK"
"311","si",2011,0.837076,"EUR"
"312","sk",2011,0.67936,"EUR"
"313","tr",2011,1.29615,"TRY"
"314","gb",2011,0.947191,"GBP"
"315","us",2011,1.34153,"USD"
"316","at",2010,1.11276,"EUR"
"317","be",2010,1.10534,"EUR"
"318","bg",2010,0.894418,"BGN"
"319","ch",2010,1.93707,"CHF"
"320","cy",2010,0.925073,"EUR"
"321","cz",2010,18.0644,"CZK"
"322","de",2010,1.06368,"EUR"
"323","dk",2010,10.0296,"DKK"
"324","ee",2010,0.676618,"EUR"
"325","gr",2010,0.953927,"EUR"
"326","es",2010,0.960464,"EUR"
"327","fi",2010,1.18977,"EUR"
"328","fr",2010,1.1292,"EUR"
"329","hr",2010,5.11796,"HRK"
"330","hu",2010,167.023,"HUF"
"331","ie",2010,1.12242,"EUR"
"332","is",2010,175.572,"ISK"
"333","it",2010,1.02151,"EUR"
"334","jp",2010,147.654,"JPY"
"335","lt",2010,0.595067,"EUR"
"336","lu",2010,1.22302,"EUR"
"337","lv",2010,0.643464,"EUR"
"338","mk",2010,24.7478,"MKD"
"339","mt",2010,0.756397,"EUR"
"340","nl",2010,1.12843,"EUR"
"341","no",2010,12.0913,"NOK"
"342","pl",2010,2.38465,"PLN"
"343","pt",2010,0.823313,"EUR"
"344","ro",2010,2.03164,"RON"
"345","se",2010,11.924,"SEK"
"346","si",2010,0.842838,"EUR"
"347","sk",2010,0.663391,"EUR"
"348","tr",2010,1.21598,"TRY"
"349","gb",2010,0.927853,"GBP"
"350","us",2010,1.32228,"USD"
"351","at",2009,1.11748,"EUR"
"352","be",2009,1.12593,"EUR"
"353","bg",2009,0.918111,"BGN"
"354","ch",2009,1.94703,"CHF"
"355","cy",2009,0.903388,"EUR"
"356","cz",2009,18.0635,"CZK"
"357","de",2009,1.07427,"EUR"
"358","dk",2009,10.2395,"DKK"
"359","ee",2009,0.684902,"EUR"
"360","gr",2009,0.932989,"EUR"
"361","es",2009,0.951861,"EUR"
"362","fi",2009,1.18738,"EUR"
"363","fr",2009,1.14296,"EUR"
"364","hr",2009,5.08932,"HRK"
"365","hu",2009,169.12,"HUF"
"366","ie",2009,1.19371,"EUR"
"367","is",2009,161.552,"ISK"
"368","it",2009,1.02158,"EUR"
"369","jp",2009,152.623,"JPY"
"370","lt",2009,0.621691,"EUR"
"371","lu",2009,1.19599,"EUR"
"372","lv",2009,0.690214,"EUR"
"373","mk",2009,24.3225,"MKD"
"374","mt",2009,0.754219,"EUR"
"375","nl",2009,1.12359,"EUR"
"376","no",2009,12.0312,"NOK"
"377","pl",2009,2.47562,"PLN"
"378","pt",2009,0.83087,"EUR"
"379","ro",2009,2.07572,"RON"
"380","se",2009,11.8151,"SEK"
"381","si",2009,0.854902,"EUR"
"382","sk",2009,0.68284,"EUR"
"383","tr",2009,1.19814,"TRY"
"384","gb",2009,0.940461,"GBP"
"385","us",2009,1.32543,"USD"
"386","at",2008,1.10121,"EUR"
"387","be",2008,1.11734,"EUR"
"388","bg",2008,0.873416,"BGN"
"389","ch",2008,1.92429,"CHF"
"390","cy",2008,0.894214,"EUR"
"391","cz",2008,17.9363,"CZK"
"392","de",2008,1.05736,"EUR"
"393","dk",2008,10.2387,"DKK"
"394","ee",2008,0.702486,"EUR"
"395","gr",2008,0.912431,"EUR"
"396","es",2008,0.935515,"EUR"
"397","fi",2008,1.17558,"EUR"
"398","fr",2008,1.13659,"EUR"
"399","hr",2008,4.99088,"HRK"
"400","hu",2008,168.844,"HUF"
"401","ie",2008,1.21723,"EUR"
"402","is",2008,147.606,"ISK"
"403","it",2008,1.01005,"EUR"
"404","jp",2008,150.595,"JPY"
"405","lt",2008,0.635172,"EUR"
"406","lu",2008,1.16001,"EUR"
"407","lv",2008,0.741776,"EUR"
"408","mk",2008,24.8279,"MKD"
"409","mt",2008,0.736636,"EUR"
"410","nl",2008,1.09264,"EUR"
"411","no",2008,11.4181,"NOK"
"412","pl",2008,2.37434,"PLN"
"413","pt",2008,0.819889,"EUR"
"414","ro",2008,2.01862,"RON"
"415","se",2008,11.3147,"SEK"
"416","si",2008,0.816849,"EUR"
"417","sk",2008,0.692658,"EUR"
"418","tr",2008,1.13412,"TRY"
"419","gb",2008,0.904363,"GBP"
"420","us",2008,1.28883,"USD"
"421","at",2007,1.09961,"EUR"
"422","be",2007,1.11328,"EUR"
"423","bg",2007,0.831416,"BGN"
"424","ch",2007,1.94055,"CHF"
"425","cy",2007,0.879294,"EUR"
"426","cz",2007,18.0597,"CZK"
"427","de",2007,1.0605,"EUR"
"428","dk",2007,10.3383,"DKK"
"429","ee",2007,0.698109,"EUR"
"430","gr",2007,0.909798,"EUR"
"431","es",2007,0.927647,"EUR"
"432","fi",2007,1.18401,"EUR"
"433","fr",2007,1.12569,"EUR"
"434","hr",2007,4.89596,"HRK"
"435","hu",2007,169.805,"HUF"
"436","ie",2007,1.21311,"EUR"
"437","is",2007,135.98,"ISK"
"438","it",2007,1.02514,"EUR"
"439","jp",2007,152.302,"JPY"
"440","lt",2007,0.595536,"EUR"
"441","lu",2007,1.16704,"EUR"
"442","lv",2007,0.716635,"EUR"
"443","mk",2007,24.7153,"MKD"
"444","mt",2007,0.71955,"EUR"
"445","nl",2007,1.0895,"EUR"
"446","no",2007,11.3015,"NOK"
"447","pl",2007,2.34814,"PLN"
"448","pt",2007,0.819237,"EUR"
"449","ro",2007,1.88455,"RON"
"450","se",2007,11.2381,"SEK"
"451","si",2007,0.798401,"EUR"
"452","sk",2007,0.701378,"EUR"
"453","tr",2007,1.07824,"TRY"
"454","gb",2007,0.898299,"GBP"
"455","us",2007,1.26503,"USD"
"456","at",2006,1.08202,"EUR"
"457","be",2006,1.09994,"EUR"
"458","bg",2006,0.777809,"BGN"
"459","ch",2006,2.01156,"CHF"
"460","cy",2006,0.893063,"EUR"
"461","cz",2006,18.1354,"CZK"
"462","de",2006,1.06636,"EUR"
"463","dk",2006,10.4263,"DKK"
"464","ee",2006,0.655223,"EUR"
"465","gr",2006,0.871199,"EUR"
"466","es",2006,0.925981,"EUR"
"467","fi",2006,1.19883,"EUR"
"468","fr",2006,1.12563,"EUR"
"469","hr",2006,4.92443,"HRK"
"470","hu",2006,165.432,"HUF"
"471","ie",2006,1.23074,"EUR"
"472","is",2006,127.867,"ISK"
"473","it",2006,1.03524,"EUR"
"474","jp",2006,156.474,"JPY"
"475","lt",2006,0.561442,"EUR"
"476","lu",2006,1.15332,"EUR"
"477","lv",2006,0.615086,"EUR"
"478","mk",2006,23.7604,"MKD"
"479","mt",2006,0.719166,"EUR"
"480","nl",2006,1.09698,"EUR"
"481","no",2006,11.0465,"NOK"
"482","pl",2006,2.32811,"PLN"
"483","pt",2006,0.8054,"EUR"
"484","ro",2006,1.76067,"RON"
"485","se",2006,11.4634,"SEK"
"486","si",2006,0.767062,"EUR"
"487","sk",2006,0.697754,"EUR"
"488","tr",2006,1.0591,"TRY"
"489","gb",2006,0.876272,"GBP"
"490","us",2006,1.25645,"USD"
"491","at",2005,1.07701,"EUR"
"492","be",2005,1.08903,"EUR"
"493","bg",2005,0.728433,"BGN"
"494","ch",2005,2.05958,"CHF"
"495","cy",2005,0.882778,"EUR"
"496","cz",2005,17.7834,"CZK"
"497","de",2005,1.06575,"EUR"
"498","dk",2005,10.4648,"DKK"
"499","ee",2005,0.614653,"EUR"
"500","gr",2005,0.865786,"EUR"
"501","es",2005,0.939708,"EUR"
"502","fi",2005,1.19605,"EUR"
