"","geo","year","values"
"309","rs",2012,90.1
"310","se",2012,98.31
"311","si",2012,98.47
"312","sk",2012,99.06
"313","tr",2012,78.77
"314","gb",2012,96.1
"315","us",2012,98.65
"316","at",2011,93.34
"317","be",2011,95.86
"318","bg",2011,99.91
"319","ch",2011,100.7
"320","cy",2011,98.05
"321","cz",2011,94.8
"322","de",2011,95.2
"323","dk",2011,96.7
"324","ee",2011,93.08
"325","gr",2011,100.21
"326","es",2011,96.31
"327","fi",2011,93.8
"328","fr",2011,96.46
"329","hr",2011,94.61
"330","hu",2011,92.85
"331","ie",2011,97.4
"332","is",2011,90.24
"333","it",2011,94.4
"334","lt",2011,96.28
"335","lu",2011,95.41
"336","lv",2011,97.08
"337","mk",2011,95.08
"338","mt",2011,96.64
"339","nl",2011,94.65
"340","no",2011,93.1
"341","pl",2011,96.1
"342","pt",2011,96.25
"343","ro",2011,92.58
"344","rs",2011,83.5
"345","se",2011,97.41
"346","si",2011,95.48
"347","sk",2011,95.47
"348","tr",2011,72.3
"349","gb",2011,93.8
"350","us",2011,97
"351","at",2010,90
"352","be",2010,92.67
"353","bg",2010,96.93
"354","ch",2010,101.1
"355","cy",2010,95.43
"356","cz",2010,92.9
"357","de",2010,92.9
"358","dk",2010,94.4
"359","ee",2010,88.15
"360","gr",2010,98.81
"361","es",2010,93.75
"362","fi",2010,90.65
"363","fr",2010,94.19
"364","hr",2010,92.7
"365","hu",2010,89.71
"366","ie",2010,96.4
"367","is",2010,85.98
"368","it",2010,92.3
"369","lt",2010,92.21
"370","lu",2010,92.04
"371","lv",2010,92.82
"372","mk",2010,92.13
"373","mt",2010,94.28
"374","nl",2010,91.7
"375","no",2010,92
"376","pl",2010,92.4
"377","pt",2010,93.66
"378","ro",2010,88.76
"379","rs",2010,75.4
"380","se",2010,95.84
"381","si",2010,94.35
"382","sk",2010,91.74
"383","tr",2010,67.79
"384","gb",2010,89.8
"385","us",2010,92.7
"386","at",2009,88.62
"387","be",2009,90.51
"388","bg",2009,93.93
"389","ch",2009,100.9
"390","cy",2009,92.25
"391","cz",2009,91.5
"392","de",2009,92
"393","dk",2009,92.3
"394","ee",2009,85.74
"395","gr",2009,93.54
"396","es",2009,92.29
"397","fi",2009,89.5
"398","fr",2009,92.7
"399","hr",2009,91.98
"400","hu",2009,86.58
"401","ie",2009,97.6
"402","is",2009,81.2
"403","it",2009,90.8
"404","lt",2009,90.62
"405","lu",2009,89.8
"406","lv",2009,93.23
"407","mk",2009,90.8
"408","mt",2009,91.56
"409","nl",2009,90.61
"410","no",2009,90.5
"411","pl",2009,90.7
"412","pt",2009,91.84
"413","ro",2009,82.52
"414","rs",2009,70.8
"415","se",2009,94.77
"416","si",2009,92.16
"417","sk",2009,90.78
"418","tr",2009,62.58
"419","gb",2009,87
"420","us",2009,90.92
"421","at",2008,88.48
"422","be",2008,91.16
"423","bg",2008,92.76
"424","ch",2008,102
"425","cy",2008,93.05
"426","cz",2008,91.5
"427","de",2008,92
"428","dk",2008,91.6
"429","ee",2008,86.38
"430","gr",2008,92.63
"431","es",2008,92.97
"432","fi",2008,88.34
"433","fr",2008,92.87
"434","hr",2008,90.61
"435","hu",2008,82.49
"436","ie",2008,100
"437","is",2008,70
"438","it",2008,90.7
"439","lt",2008,88.63
"440","lu",2008,89.97
"441","lv",2008,91.83
"442","mk",2008,91.55
"443","mt",2008,90.62
"444","nl",2008,90.67
"445","no",2008,88.8
"446","pl",2008,86.9
"447","pt",2008,92.97
"448","ro",2008,78.64
"449","rs",2008,65.3
"450","se",2008,93.02
"451","si",2008,92.06
"452","sk",2008,90.35
"453","tr",2008,59.41
"454","gb",2008,85.7
"455","us",2008,93
"456","at",2007,85.42
"457","be",2007,86.52
"458","bg",2007,82.96
"459","ch",2007,98.9
"460","cy",2007,88.56
"461","cz",2007,86.1
"462","de",2007,89.1
"463","dk",2007,87.4
"464","ee",2007,77.74
"465","gr",2007,88.36
"466","es",2007,88.59
"467","fi",2007,84.45
"468","fr",2007,89.7
"469","hr",2007,84.61
"470","hu",2007,77.54
"471","ie",2007,96.9
"472","is",2007,60.72
"473","it",2007,87
"474","lt",2007,78.98
"475","lu",2007,85.83
"476","lv",2007,79.46
"477","mk",2007,85.11
"478","mt",2007,86
"479","nl",2007,88.05
"480","no",2007,85.4
"481","pl",2007,83.2
