"","currency","year","values"
"348","INR",2012,68.8632
"349","ISK",2012,149.07
"350","JPY",2012,97.58
"351","KRW",2012,1403.93
"352","MAD",2012,11.02
"353","MKD",2012,61.5007
"354","MXN",2012,16.36
"355","MYR",2012,3.8643
"356","NOK",2012,7.3239
"357","NZD",2012,1.5306
"358","PHP",2012,52.173
"359","PLN",2012,4.0934
"360","RON",2012,4.5176
"361","RSD",2012,117.8899
"362","RUB",2012,39.6334
"363","SEK",2012,8.2805
"364","SGD",2012,1.548
"365","THB",2012,38.9737
"366","TRY",2012,2.2291
"367","TWD",2012,37.147
"368","USD",2012,1.24
"369","ZAR",2012,10.2585
"370","ALL",2011,139.85
"371","ARS",2011,5.9729
"372","AUD",2011,1.3651
"373","BAM",2011,1.95583
"374","BGN",2011,1.9558
"375","BRL",2011,2.2888
"376","CAD",2011,1.4071
"377","CHF",2011,1.1203
"378","CNY",2011,9.1857
"379","CZK",2011,24.273
"380","DKK",2011,7.4498
"381","DZD",2011,104.01
"382","EGP",2011,8.55
"383","GBP",2011,0.87668
"384","HKD",2011,11.1846
"385","HRK",2011,7.462
"386","HUF",2011,272.37
"387","IDR",2011,12249.95
"388","ILS",2011,5.0841
"389","INR",2011,65.0717
"390","ISK",2011,164.19
"391","JPY",2011,110.43
"392","KRW",2011,1542.01
"393","MAD",2011,11.33
"394","MKD",2011,61.5096
"395","MXN",2011,17.5456
"396","MYR",2011,4.2822
"397","NOK",2011,7.7882
"398","NZD",2011,1.7108
"399","PHP",2011,60.836
"400","PLN",2011,4.1195
"401","RON",2011,4.2505
"402","RSD",2011,102.2545
"403","RUB",2011,41.2954
"404","SEK",2011,9.1655
"405","SGD",2011,1.734
"406","THB",2011,42.8749
"407","TRY",2011,2.5147
"408","TWD",2011,41.562
"409","USD",2011,1.4343
"410","ZAR",2011,10.1532
"411","ALL",2010,136.24
"412","ARS",2010,5.0754
"413","AUD",2010,1.4337
"414","BAM",2010,1.95583
"415","BGN",2010,1.9558
"416","BRL",2010,2.2691
"417","CAD",2010,1.3411
"418","CHF",2010,1.3413
"419","CNY",2010,8.752
"420","CZK",2010,24.806
"421","DKK",2010,7.4495
"422","DZD",2010,96.27
"423","EGP",2010,7.34
"424","GBP",2010,0.82363
"425","HKD",2010,10.0193
"426","HRK",2010,7.2525
"427","HUF",2010,281.45
"428","IDR",2010,11573.26
"429","ILS",2010,4.8906
"430","INR",2010,60.0584
"431","ISK",2010,154.08
"432","JPY",2010,110.04
"433","KRW",2010,1522.39
"434","MAD",2010,11.12
"435","MKD",2010,61.51
"436","MXN",2010,16.4571
"437","MYR",2010,4.0654
"438","NOK",2010,7.9325
"439","NZD",2010,1.8059
"440","PHP",2010,58.245
"441","PLN",2010,3.9899
"442","RON",2010,4.2396
"443","RSD",2010,105.2965
"444","RUB",2010,39.1898
"445","SEK",2010,9.4216
"446","SGD",2010,1.7482
"447","THB",2010,40.9373
"448","TRY",2010,1.9484
"449","TWD",2010,41.188
"450","USD",2010,1.2894
"451","ZAR",2010,9.4192
"452","ALL",2009,131.01
"453","ARS",2009,5.4748
"454","AUD",2009,1.7081
"455","BAM",2009,1.95583
"456","BGN",2009,1.9558
"457","BRL",2009,2.6314
"458","CAD",2009,1.5522
"459","CHF",2009,1.5236
"460","CNY",2009,9.7485
"461","CZK",2009,25.646
"462","DKK",2009,7.444
"463","DZD",2009,103.93
"464","EGP",2009,7.9
"465","GBP",2009,0.86265
"466","HKD",2009,11.0587
"467","HRK",2009,7.3287
"468","HUF",2009,270.05
"469","IDR",2009,14270.78
"470","ILS",2009,5.4694
"471","INR",2009,68.957
"472","ISK",2009,181.32
"473","JPY",2009,135.31
"474","KRW",2009,1768.99
"475","MAD",2009,11.3
"476","MKD",2009,61.1713
"477","MXN",2009,18.5571
"478","MYR",2009,5.0185
"479","NOK",2009,8.6602
"480","NZD",2009,2.1097
"481","PHP",2009,68.803
"482","PLN",2009,4.1311
"483","RON",2009,4.2183
"484","RSD",2009,93.2647
"485","RUB",2009,45.1972
"486","SEK",2009,10.221
"487","SGD",2009,2.0577
"488","THB",2009,48.5433
"489","TRY",2009,2.1236
"490","TWD",2009,46.905
"491","USD",2009,1.4268
"492","ZAR",2009,11.3415
"493","ALL",2008,121.44
"494","ARS",2008,4.5419
"495","AUD",2008,1.6961
"496","BAM",2008,1.95583
"497","BGN",2008,1.9558
"498","BRL",2008,2.4103
"499","CAD",2008,1.5765
"500","CHF",2008,1.6212
"501","CNY",2008,10.2609
"502","CZK",2008,24.287
"503","DKK",2008,7.4595
"504","DZD",2008,91.85
"505","EGP",2008,7.99
"506","GBP",2008,0.79279
"507","HKD",2008,11.6932
"508","HRK",2008,7.1947
"509","HUF",2008,235.88
"510","IDR",2008,13700.21
"511","ILS",2008,5.3246
"512","INR",2008,64.3236
"513","ISK",2008,122.07
"514","JPY",2008,163.63
"515","KRW",2008,1566.23
"516","MAD",2008,11.39
